Customer_ID,Full_Name,Email_Address,Country,State_Province,Preferred_Currency,Total_Revenue_2024_GHS
cust_23,Ntombi Brown,ntombi.b@gmail.com,Ghana,Kumasi,GHS,11884.45
C24,Waceera Henson,waceerahenson@yahoo.com,Ghana,Greater Accra,GHS,9534.54
cust_25,Faith Gonzalez,faith24@outlook.com,SO,KwaZulu-Natal,GHS,0.0
cust_26,Kanini Bray,k_bray4@gmail.com,Ghana,Accra,GHS,0.0
cust_27,Oyinade Smith,o_smith2@gmail.com,Nigeria,Abuja,USD,10601.44
C28,Efe Wright,e.wright@gmail.com,Ghana,Central,USD,648.89
C29,Busisiwe Burns,busisiwe.b@gmail.com,Nigeria,Lagos State,GHS,9322.64
C30,Hannah Thomas,hannahthomas@gmail.com,Nigeria,Kano,GHS,9598.2
C31,Madison Young,m_young1@gmail.com,South Africa,Gauteng,USD,0.0
cust_32,Khanyisile Miller,k_miller8@gmail.com,Kenya,Nakuru,GHS,12111.63
C33,Sena Chapman,S_chapman9@gmail.com,Ghana,Accra,GHS,7833.66
cust_34,Ava Butler,a.butler@gmail.com,Ghana,Kumasi,GHS,0.0
C35,Waceera Alvarado,w_alvarado7@gmaill.com,Kenya,Kisumu,GHS,0.0
cust_36,Kukua Moon,k_moon4@yahoo.com,NI,Abuja,GHS,297.41
cust_37,Tolu Brown,t_brown8@gmail.com,Ghana,Greater Accra,GHS,13839.73
C38,Rose Floyd,rose80@gmaill.com,Ghana,Greater Accra,GHS,0.0
C39,Ngozi Carroll,n.carroll@gmail.com,Kenya,Kisumu,GHS,10490.05
C40,Lauren Brown,lauren.b@gmail.com,Ghana,Greater Accra,GHS,0.0
C540,Lesego Harvey,lauren.b@gmail.com,Ghana,Kumasi,NGN,0.0
cust_42,Vera Saunders,vera7@gmail.com,Ghana,Central,GHS,0.0
C43,Akweley Moreno,akweley.m@yahoo.com,Nigeria,Abuja,GHS,12513.28
C44,Rose Cobb,r.cobb@gmail.com,Ghana,Accra,NGN,10578.42
C45,Aisha Crawford,aisha3@gmail.com,Ghana,Accra,GHS,0.0
C46,Benta Gardner,bentagardner@gmaill.com,Ghana,Kumasi,GHS,0.0
cust_47,Mavis Atkins,mavis85@gmail.com,Nigeria,Abuja,GHS,13187.51
cust_48,Luna Taylor,l.taylor@gmail.com,Kenya,Nakuru,GHS,14909.11
cust_49,Awuor Thompson,awuor.t@gmail.com,Ghana,Greater Accra,GHS,11215.86
C50,Akua Lynch,A_lynch1@gmail.com,Ghana,Accra,USD,13599.85
cust_51,Fati Watts,Fatiwatts@yahoo.com,Ghana,Central,GHS,0.0
C52,Olivia Pineda,oliviapineda@gmaill.com,Nigeria,Lagos State,GHS,0.0
cust_53,Fatima Harris,F.harris@gmail.com,Ghana,Greater Accra,GHS,2939.81
cust_54,Mwende Walter,mwende78@gmail.com,GH,Greater Accra,GHS,0.0
C55,Abigail Spencer,a_spencer6@yahoo.com,NI,Lagos State,NGN,10006.71
cust_56,Fatima Fowler,fatima22@gmail.com,Ghana,Kumasi,USD,9774.18
C57,Ava Wallace,a.wallace@yahoo.com,GH,Central,NGN,8689.71
cust_58,Chizoba Reynolds,chizobareynolds@gmaill.com,Nigeria,Kano,GHS,0.0
C59,Jessica Martinez,j.martinez@gmail.com,Nigeria,Kano,GHS,0.0
C60,Grace Rodriguez,grace.r@gmail.com,Ghana,Accra,GHS,13687.3
C560,Akwele Fox,grace.r@gmail.com,GH,Greater Accra,GHS,767.0
cust_62,Grace Garrison,g_garrison1@gmail.com,Ghana,Kumasi,USD,0.0
cust_63,Camila Bernard,camilabernard@gmail.com,Nigeria,Kano,GHS,14872.0
cust_64,Nompumelelo Baldwin,Nompumelelo.b@outlook.com,South Africa,Gauteng,GHS,0.0
cust_65,Akinyi Park,Akinyi59@gmail.com,Ghana,Kumasi,GHS,0.0
C66,Jessica Lopez,j_lopez4@yahoo.com,Kenya,Mombasa,NGN,6415.29
C67,Ifeyinwa Hartman,ifeyinwa.h@gmaill.com,Ghana,Central,GHS,7835.75
C68,Kanini Duffy,kaniniduffy@gmail.com,South Africa,Western Cape,GHS,7695.91
cust_69,Stella Duran,stella.d@gmail.com,GH,Greater Accra,GHS,0.0
cust_70,Naa Fleming,naa.f@outlook.com,Ghana,Central,GHS,176.92
C71,Fatima Vasquez,fatima14@gmail.com,Nigeria,Abuja,GHS,6582.01
cust_72,Wanjiru Wilson,w_wilson3@gmail.com,Nigeria,Lagos State,GHS,5571.9
C73,Wanjiru Spence,wanjiru31@gmail.com,Ghana,Central,GHS,0.0
C74,Kerubo Sanchez,kerubo66@outlook.com,GH,Accra,GHS,9417.57
C75,Kukua Stokes,kukua29@gmail.com,Ghana,Central,GHS,525.94
C76,Amarachi Bell,a.bell@gmail.com,Ghana,Central,USD,0.0
cust_77,Ada Lewis,adalewis@gmail.com,Ghana,Greater Accra,GHS,0.0
C78,Yaa Walker,y_walker10@gmail.com,Ghana,Greater Accra,GHS,7592.52
cust_79,Refilwe Price,refilwe84@outlook.com,Ghana,Accra,GHS,6741.13
C80,Sizakele Bishop,sizakele68@gmail.com,Ghana,Kumasi,GHS,13375.4
C580,Simisola Roberts,sizakele68@gmail.com,NI,Abuja,GHS,11088.79
cust_82,Thandeka Brown,t_brown9@gmail.com,Nigeria,Rivers,GHS,5379.45
cust_83,Madison Wilkins,madisonwilkins@gmaill.com,Kenya,Nairobi,GHS,14994.65
cust_84,Palesa Cox,p_cox7@gmaill.com,South Africa,KwaZulu-Natal,GHS,0.0
cust_85,Lesego Mills,L_miLLs8@gmail.com,Ghana,Accra,GHS,0.0
cust_86,Chizoba Myers,chizoba45@gmail.com,Nigeria,Abuja,GHS,0.0
cust_87,Wambui Elliott,Wambui.e@gmail.com,Ghana,Central,GHS,679.71
C88,Wanjiku Allen,wanjikuallen@gmail.com,Ghana,Central,GHS,0.0
cust_89,Vera Mitchell,veramitchell@gmail.com,Ghana,Kumasi,GHS,0.0
cust_90,Simisola Price,s_price4@yahoo.com,Ghana,Greater Accra,GHS,10583.52
C91,Wambui Compton,wambui.c@outlook.com,Ghana,Greater Accra,GHS,10310.54
C92,Amarachi Chapman,AmArAchi.c@gmail.com,Ghana,Central,GHS,10184.16
C93,Rose Booker,r_booker6@gmail.com,Nigeria,Kano,GHS,0.0
C94,Faith Velasquez,f.velasquez@yahoo.com,South Africa,Western Cape,GHS,5645.79
cust_95,Palesa Smith,P.smith@gmail.com,Ghana,Accra,NGN,0.0
cust_96,Nolwazi Bonilla,Nolwazi90@gmail.com,Ghana,Accra,NGN,9086.63
C97,Khanyisile Thompson,k_thompson4@gmail.com,Ghana,Greater Accra,GHS,0.0
C98,Akosua Buckley,a.buckley@gmail.com,Nigeria,Lagos State,GHS,0.0
cust_99,Palesa Rivera,p_rivera6@gmail.com,Nigeria,Abuja,GHS,0.0
cust_100,Dzifa Wheeler,Dzifa.w@gmail.com,South Africa,Gauteng,GHS,8275.61
C600,Evelyn Hill,Dzifa.w@gmail.com,Nigeria,Rivers,GHS,0.0
C102,Wambui Clark,w_clark2@gmail.com,Ghana,Greater Accra,USD,0.0
C103,Nnenna Yang,n_yang1@gmail.com,Nigeria,Rivers,NGN,1333.39
cust_104,Akua Mcdonald,akua.m@yahoo.com,NI,Rivers,GHS,10143.36
C105,Oluwatoyin Gray,OluwatOyin.g@gmail.com,Ghana,Kumasi,GHS,0.0
cust_106,Selina Gomez,selinagomez@yahoo.com,Nigeria,Kano,GHS,9773.46
C107,Abigail Fletcher,abigailfletcher@gmail.com,Kenya,Mombasa,USD,0.0
cust_108,Mavis Johnson,mavis36@outlook.com,Ghana,Kumasi,USD,0.0
cust_109,Aurora Thompson,a_thompson3@yahoo.com,Nigeria,Abuja,GHS,5473.69
cust_110,Fatima Sherman,f_sherman6@gmail.com,Ghana,Kumasi,USD,2624.33
C111,Fatima Clark,f_clark9@gmail.com,Kenya,Nakuru,NGN,5536.68
C112,Gifty Chapman,g_chapman5@gmail.com,Nigeria,Kano,GHS,13680.82
C113,Aurora Harper,aurora47@yahoo.com,Ghana,Kumasi,GHS,3474.54
cust_114,Madison Flowers,madison.f@gmaill.com,Ghana,Greater Accra,USD,0.0
cust_115,Naa Carr,n_carr8@gmail.com,GH,Accra,GHS,11171.05
C116,Hazel Jackson,hazeljackson@outlook.com,Ghana,Greater Accra,USD,14361.5
C117,Akinyi Sparks,akinyisparks@gmail.com,Ghana,Central,NGN,0.0
C118,Wambui Washington,wambuiwashington@gmail.com,Ghana,Central,GHS,14077.93
C119,Adewunmi Walker,adewunmi16@gmail.com,Ghana,Greater Accra,GHS,0.0
cust_120,Sophia Mathews,s.mathews@yahoo.com,Nigeria,Kano,USD,5324.25
C620,Kukua Burnett,s.mathews@yahoo.com,Nigeria,Abuja,GHS,14010.24
cust_122,Thato Benson,t.benson@yahoo.com,Kenya,Mombasa,USD,0.0
cust_123,Folake Roberts,folakeroberts@gmail.com,South Africa,KwaZulu-Natal,GHS,0.0
cust_124,Achieng Reese,a.reese@gmail.com,Nigeria,Abuja,GHS,0.0
cust_125,Naomi Terry,naomiterry@gmail.com,NI,Abuja,USD,300.37
cust_126,Chinelo Thompson,c_thompson10@gmaill.com,Kenya,Nakuru,GHS,4348.56
cust_127,Ama Luna,amaluna@gmail.com,Ghana,Greater Accra,GHS,13507.4
cust_128,Adhiambo Brooks,adhiambo.b@gmail.com,Nigeria,Lagos State,USD,0.0
C129,Nompumelelo Brown,Nompumelelo.b@gmail.com,South Africa,Western Cape,USD,0.0
C130,Bolanle Bell,bolanlebell@outlook.com,Ghana,Central,GHS,9017.75
cust_131,Wanjiku Fisher,wanjiku71@gmail.com,Ghana,Greater Accra,GHS,0.0
C132,Njoki Sosa,njokisosa@gmail.com,Ghana,Accra,GHS,0.0
cust_133,Efe Carson,efecarson@yahoo.com,Nigeria,Rivers,USD,9162.92
C134,Boitumelo Peterson,Boitumelo64@gmail.com,Nigeria,Rivers,GHS,0.0
C135,Ifeoma Shelton,i.shelton@outlook.com,Nigeria,Rivers,GHS,0.0
cust_136,Simisola Gray,SimiSola23@gmail.com,Kenya,Nairobi,GHS,0.0
C137,Afua Duke,afua.d@gmaill.com,Nigeria,Rivers,GHS,0.0
cust_138,Grace Weaver,g_weaver7@gmail.com,Nigeria,Abuja,GHS,6364.65
C139,Brooklyn Taylor,brooklyn.t@gmail.com,Kenya,Nairobi,GHS,0.0
cust_140,Thato Cooper,ThaTocooper@gmail.com,Nigeria,Abuja,GHS,11292.28
C640,Njoki Flores,ThaTocooper@gmail.com,Ghana,Accra,GHS,0.0
C142,Olivia Benton,olivia30@outlook.com,GH,Accra,GHS,2092.01
C143,Nevaeh Williams,nevaeh.w@yahoo.com,Kenya,Nairobi,GHS,12123.08
C144,Mwende Kelly,mwendekelly@yahoo.com,Ghana,Greater Accra,NGN,0.0
cust_145,Naa Waller,Naa.w@outlook.com,Nigeria,Abuja,GHS,2669.14
cust_146,Temitope Peters,TemiTopepeTers@gmail.com,South Africa,KwaZulu-Natal,GHS,4228.12
cust_147,Nana Hayes,n_hayes7@gmaill.com,Nigeria,Abuja,GHS,10634.58
cust_148,Relebohile Washington,R_washington4@yahoo.com,Nigeria,Abuja,GHS,0.0
C149,Chiamaka Davis,chiamaka62@yahoo.com,Ghana,Kumasi,GHS,13984.75
C150,Nevaeh Mcdonald,nevaehmcdonald@yahoo.com,Ghana,Central,USD,0.0
cust_151,Adhiambo Rodriguez,a_rodriguez9@gmail.com,Ghana,Central,GHS,9849.59
cust_152,Willow Bishop,willowbishop@gmail.com,Nigeria,Kano,GHS,0.0
C153,Mumbi Torres,mumbitorres@gmail.com,Nigeria,Abuja,GHS,1824.84
cust_154,Mansa Mejia,Mansa57@yahoo.com,Kenya,Kisumu,GHS,0.0
cust_155,Akweley Ray,a.ray@gmail.com,Ghana,Greater Accra,GHS,3158.52
cust_156,Adebimpe Ortega,adebimpeortega@outlook.com,Nigeria,Rivers,GHS,0.0
C157,Eniola Gonzalez,e.gonzalez@gmail.com,Ghana,Kumasi,GHS,0.0
C158,Aria Beasley,aria63@gmail.com,Ghana,Central,GHS,0.0
cust_159,Moraa Warren,moraa48@yahoo.com,Ghana,Accra,GHS,13305.5
C160,Harper Gray,harpergray@gmaill.com,Nigeria,Kano,GHS,0.0
C660,Amelia Quinn,harpergray@gmaill.com,Nigeria,Kano,USD,0.0
cust_162,Willow Hansen,willow.h@gmail.com,South Africa,Western Cape,GHS,0.0
cust_163,Boitumelo Taylor,boitumelo25@gmail.com,Ghana,Accra,GHS,0.0
C164,Moraa Adams,m_adams2@gmaill.com,Kenya,Kisumu,GHS,10994.27
cust_165,Oyindamola Vaughan,oyindamola15@gmail.com,Nigeria,Lagos State,GHS,0.0
cust_166,Sena Harrison,s_harrison10@outlook.com,Nigeria,Abuja,USD,0.0
C167,Awuor Miller,awuor43@gmail.com,GH,Kumasi,GHS,1700.04
C168,Ntombi Ross,ntombi99@gmail.com,Nigeria,Rivers,GHS,13639.08
C169,Mumbi Morrow,m_morrow3@gmail.com,GH,Greater Accra,GHS,0.0
C170,Rose Walsh,R_walsh8@gmail.com,Nigeria,Rivers,GHS,3837.15
C171,Sophia Smith,Sophia62@yahoo.com,Ghana,Greater Accra,USD,0.0
C172,Sarah Johnson,s_johnson8@gmail.com,Nigeria,Lagos State,USD,11891.67
cust_173,Ruby Hensley,r_hensley9@gmail.com,GH,Central,GHS,2374.13
cust_174,Vera Walker,Verawalker@gmail.com,Ghana,Greater Accra,GHS,1633.63
cust_175,Golda Woods,golda.w@yahoo.com,Ghana,Accra,GHS,0.0
C176,Emma Davis,emmadavis@gmail.com,Ghana,Kumasi,GHS,0.0
C177,Oluwatoyin Watts,O.watts@gmail.com,NI,Rivers,GHS,0.0
C178,Quinn Collins,Quinncollins@gmail.com,GH,Central,GHS,7656.79
C179,Busisiwe Cunningham,busisiwe.c@yahoo.com,South Africa,KwaZulu-Natal,GHS,0.0
C180,Akosua Bond,a_bond3@gmail.com,Nigeria,Rivers,GHS,0.0
C680,Kanini Horton,a_bond3@gmail.com,Nigeria,Rivers,GHS,8869.32
C182,Adwoa James,adwoa75@gmail.com,South Africa,Gauteng,NGN,3397.82
C183,Gabriella Davidson,g_davidson3@gmail.com,Nigeria,Kano,GHS,10747.81
cust_184,Mwende Bell,M.bell@gmail.com,Ghana,Kumasi,GHS,13685.86
C185,Luna Osborn,luna.o@gmail.com,KE,Mombasa,GHS,1089.61
cust_186,Tolu Moreno,tolu71@gmail.com,Ghana,Accra,NGN,7275.0
cust_187,Bisi Sharp,bisi10@gmaill.com,Ghana,Central,GHS,14721.62
cust_188,Chebet Garcia,C.garCia@gmail.com,Ghana,Accra,GHS,0.0
C189,Hannah Bowers,hannahbowers@yahoo.com,Nigeria,Abuja,GHS,11609.53
C190,Selina Jones,selina.j@gmail.com,Nigeria,Kano,GHS,0.0
C191,Vera Brown,vera.b@gmail.com,Nigeria,Rivers,USD,0.0
cust_192,Zainab Hayes,zainabhayes@gmail.com,GH,Kumasi,GHS,0.0
C193,Sena Morgan,sena33@gmail.com,Ghana,Kumasi,GHS,0.0
C194,Stella Simmons,stellasimmons@gmail.com,Ghana,Central,GHS,0.0
cust_195,Esi Schmidt,esi.s@gmail.com,Nigeria,Abuja,NGN,12698.36
C196,Amondi Brown,a_brown9@gmail.com,Nigeria,Kano,USD,0.0
C197,Nomusa Wright,nomusawright@gmaill.com,Nigeria,Lagos State,NGN,0.0
cust_198,Damilola Beck,damilola.b@gmaill.com,Kenya,Kisumu,GHS,0.0
C199,Esther Smith,EsthErsmith@gmail.com,Nigeria,Lagos State,GHS,13850.42
C200,Gifty Williamson,giftywilliamson@gmail.com,Nigeria,Kano,USD,0.0
C700,Hazel Lloyd,giftywilliamson@gmail.com,Ghana,Kumasi,USD,0.0
C202,Leah Watson,leah.w@outlook.com,Nigeria,Lagos State,GHS,0.0
C203,Mia May,M_May10@gmail.com,Kenya,Nakuru,GHS,10159.96
cust_204,Isabella Jefferson,isabella59@gmail.com,Ghana,Kumasi,GHS,2553.33
C205,Bolanle Flowers,b_flowers8@gmail.com,Ghana,Kumasi,USD,14946.57
cust_206,Akwele James,a.james@gmail.com,Nigeria,Abuja,GHS,796.39
cust_207,Yaa Hawkins,yaa78@gmail.com,Kenya,Mombasa,GHS,0.0
C208,Thandeka Townsend,thandeka.t@yahoo.com,Ghana,Accra,NGN,0.0
cust_209,Nompumelelo Crawford,nompumelelo62@yahoo.com,Nigeria,Lagos State,NGN,8547.49
C210,Clara Medina,clara.m@gmail.com,Ghana,Central,GHS,0.0
cust_211,Wanjiru Gibson,wanjiru.g@gmail.com,Kenya,Nakuru,USD,0.0
cust_212,Chidinma Meyers,chidinmameyers@gmail.com,Ghana,Greater Accra,GHS,0.0
cust_213,Aurora Garner,aurora.g@gmail.com,Ghana,Central,USD,10072.3
C214,Amarachi Zimmerman,A.zimmermAn@gmaill.com,Ghana,Central,GHS,6665.37
cust_215,Folake Adams,folake.a@gmail.com,Nigeria,Kano,GHS,0.0
C216,Madison Williams,madisonwilliams@yahoo.com,Ghana,Central,GHS,7373.27
C217,Zoe Juarez,Zoe7@gmail.com,Ghana,Accra,NGN,3497.35
C218,Oyindamola Smith,O_smith8@outlook.com,Ghana,Accra,USD,3483.96
cust_219,Chloe Short,chloe.s@gmail.com,Ghana,Kumasi,USD,0.0
C220,Amarachi Hughes,a_hughes1@outlook.com,Nigeria,Abuja,GHS,9528.2
C720,Isabella Ferguson,a_hughes1@outlook.com,Ghana,Greater Accra,GHS,0.0
C222,Awuor Williams,Awuor.w@gmail.com,Nigeria,Lagos State,GHS,6871.01
cust_223,Khensani Golden,khensanigolden@gmail.com,Ghana,Kumasi,GHS,12649.01
C224,Adewunmi Miller,adewunmi29@outlook.com,South Africa,Western Cape,GHS,7963.39
C225,Lindiwe Daugherty,Lindiwe.d@yahoo.com,South Africa,Gauteng,GHS,9580.27
cust_226,Ruby Carey,r_carey3@gmail.com,Ghana,Greater Accra,GHS,6634.62
cust_227,Hannah Davidson,HannaH.d@gmail.com,Ghana,Greater Accra,GHS,0.0
cust_228,Akua Hebert,a.hebert@gmaill.com,Nigeria,Rivers,GHS,8279.28
cust_229,Penelope Hawkins,penelopehawkins@gmail.com,South Africa,Gauteng,GHS,6958.22
C230,Gifty Parker,Gifty.p@yahoo.com,Nigeria,Kano,GHS,0.0
C231,Chiamaka Lewis,Chiamakalewis@gmail.com,South Africa,Western Cape,GHS,14373.01
cust_232,Naomi Welch,naomi.w@outlook.com,Nigeria,Lagos State,GHS,4959.45
C233,Fati Frederick,Fati22@outlook.com,Ghana,Central,GHS,11143.79
cust_234,Damilola Johnson,damilola98@gmail.com,Ghana,Accra,NGN,12050.45
cust_235,Dela Contreras,d.contreras@outlook.com,Ghana,Kumasi,NGN,0.0
cust_236,Relebohile Sherman,r_sherman7@gmaill.com,NI,Lagos State,GHS,0.0
C237,Wambui Douglas,w_douglas7@gmail.com,Nigeria,Abuja,GHS,12001.8
C238,Sena Barnes,sena41@yahoo.com,Nigeria,Kano,GHS,2594.88
C239,Gifty Reynolds,g_reynolds4@gmail.com,Ghana,Accra,NGN,1304.24
C240,Khanyisile Barton,Khanyisile21@gmail.com,Nigeria,Kano,GHS,0.0
C740,Cebile Mcdaniel,Khanyisile21@gmail.com,Kenya,Kisumu,GHS,0.0
cust_242,Akweley Townsend,akweley.t@gmail.com,Nigeria,Abuja,GHS,0.0
C243,Chinelo Wiley,c_wiley3@yahoo.com,South Africa,KwaZulu-Natal,GHS,2893.46
C244,Quinn Moore,quinnmoore@yahoo.com,Ghana,Accra,GHS,13377.67
cust_245,Selina Sparks,s.sparks@outlook.com,South Africa,Gauteng,USD,3588.24
C246,Kanini Ward,kanini4@gmail.com,Nigeria,Lagos State,GHS,5946.78
C247,Gabriella Reid,gabriella78@gmail.com,Ghana,Accra,GHS,0.0
C248,Aurora Hall,aurora19@outlook.com,Ghana,Kumasi,GHS,6160.55
C249,Ifeyinwa Hoffman,ifeyinwahoffman@yahoo.com,South Africa,Gauteng,GHS,0.0
cust_250,Muthoni Valencia,muthoni53@outlook.com,Ghana,Kumasi,GHS,0.0
cust_251,Sizakele Gonzalez,sizakele.g@gmail.com,Ghana,Greater Accra,GHS,6487.15
cust_252,Grace Lucero,grace78@yahoo.com,Nigeria,Abuja,GHS,0.0
C253,Chebet Torres,chebet.t@yahoo.com,Ghana,Greater Accra,GHS,414.83
C254,Clara Nelson,clara6@gmail.com,Nigeria,Abuja,GHS,14215.58
cust_255,Jemutai Bishop,j_bishop9@yahoo.com,Ghana,Greater Accra,GHS,6313.25
cust_256,Stella Lee,stellalee@gmail.com,Ghana,Greater Accra,GHS,5618.14
cust_257,Evelyn Parsons,evelyn.p@yahoo.com,Nigeria,Lagos State,NGN,8722.61
C258,Wanjiru Russell,W.russell@yahoo.com,Ghana,Kumasi,NGN,14478.39
cust_259,Wanjiku Jackson,wanjiku.j@gmail.com,Ghana,Kumasi,GHS,10833.54
C260,Kemi Jennings,k_jennings6@gmail.com,Nigeria,Abuja,NGN,0.0
C760,Eno Garcia,k_jennings6@gmail.com,Ghana,Greater Accra,GHS,9668.72
C262,Zainab Thompson,Zainab54@gmail.com,Ghana,Greater Accra,USD,0.0
C263,Kemi Davis,kemi60@yahoo.com,Ghana,Greater Accra,GHS,0.0
C264,Benta Ward,b_ward3@gmail.com,Kenya,Nairobi,NGN,0.0
C265,Sofia Perez,s.perez@gmail.com,South Africa,Gauteng,NGN,0.0
cust_266,Funke Dickerson,funkedickerson@gmail.com,Nigeria,Kano,GHS,9386.64
cust_267,Golda Morris,goldamorris@yahoo.com,Kenya,Nairobi,USD,5521.12
cust_268,Gabriella Holmes,gabriella.h@yahoo.com,Nigeria,Rivers,GHS,6937.3
C269,Kanini Marshall,kanini79@gmail.com,Kenya,Nairobi,GHS,13520.24
C270,Nompumelelo Holland,Nompumelelo96@gmail.com,Ghana,Central,GHS,14321.66
C271,Chidinma Kim,chidinmakim@yahoo.com,Ghana,Kumasi,GHS,7660.38
C272,Nyawira Porter,nyawiraporter@gmaill.com,Nigeria,Lagos State,GHS,0.0
cust_273,Sena Griffith,sena.g@yahoo.com,GH,Kumasi,GHS,0.0
cust_274,Sarah Munoz,s_munoz5@gmail.com,Ghana,Kumasi,GHS,0.0
C275,Jessica Calderon,j.calderon@outlook.com,Nigeria,Rivers,GHS,14043.7
C276,Stella Martin,stellamartin@gmail.com,Ghana,Accra,GHS,0.0
cust_277,Emma Craig,emma75@gmail.com,Nigeria,Lagos State,GHS,0.0
cust_278,Benta Reed,benta92@gmail.com,South Africa,Gauteng,USD,3611.41
C279,Folake Smith,folake82@gmail.com,Ghana,Kumasi,GHS,4910.85
C280,Samantha Miller,samantha.m@yahoo.com,Ghana,Greater Accra,GHS,1595.91
C780,Naa Park,samantha.m@yahoo.com,Ghana,Central,GHS,0.0
C282,Khanyisile Walsh,k.walsh@outlook.com,Ghana,Central,GHS,2421.86
cust_283,Pumeza Dominguez,Pumeza93@gmail.com,Ghana,Kumasi,USD,13312.58
C284,Jessica Pierce,jessicapierce@gmail.com,Ghana,Kumasi,GHS,2672.25
cust_285,Ifeyinwa Scott,ifeyinwa.s@gmail.com,Nigeria,Rivers,USD,0.0
cust_286,Nolwazi Glenn,nolwazi.g@gmail.com,Kenya,Nakuru,GHS,0.0
cust_287,Emma Mcgee,emmamcgee@gmail.com,Nigeria,Lagos State,GHS,11623.54
cust_288,Scarlett Cain,scarlettcain@yahoo.com,Ghana,Kumasi,GHS,3346.37
C289,Naomi Thomas,naomi64@outlook.com,Ghana,Central,GHS,0.0
C290,Kerubo Ortiz,keruboortiz@gmail.com,South Africa,Gauteng,GHS,0.0
C291,Ruby Fuller,ruby.f@gmail.com,Nigeria,Abuja,GHS,4858.27
cust_292,Afua Phillips,AfuA40@gmail.com,Ghana,Kumasi,GHS,0.0
cust_293,Thulisile Taylor,ThulisileTaylor@gmail.com,NI,Lagos State,GHS,0.0
cust_294,Njoki Singh,njokisingh@gmail.com,Ghana,Central,GHS,5823.28
C295,Lerato Sanchez,leratosanchez@gmail.com,Ghana,Kumasi,GHS,9149.86
cust_296,Khensani Smith,k.smith@yahoo.com,GH,Kumasi,GHS,14440.89
cust_297,Busisiwe Tate,busisiwe.t@gmail.com,Nigeria,Rivers,GHS,8896.88
cust_298,Chinelo Sandoval,chinelosandoval@gmail.com,Ghana,Central,GHS,0.0
cust_299,Awuor Rodriguez,awuor49@outlook.com,Nigeria,Rivers,GHS,0.0
C300,Zainab Smith,zainabsmith@gmail.com,Ghana,Greater Accra,USD,0.0
C800,Clara Dalton,zainabsmith@gmail.com,Ghana,Greater Accra,GHS,6831.79
C302,Ifeyinwa Baker,ifeyinwa67@outlook.com,Ghana,Accra,NGN,0.0
C303,Ada Porter,ada29@gmail.com,Nigeria,Abuja,USD,0.0
cust_304,Leah Guzman,Leah40@gmail.com,Ghana,Kumasi,USD,0.0
cust_305,Elizabeth White,e.white@yahoo.com,Kenya,Nakuru,USD,8361.53
C306,Zainab Evans,zainabevans@gmail.com,South Africa,Western Cape,NGN,0.0
C307,Pumeza Hamilton,p.hamilton@gmail.com,Nigeria,Rivers,GHS,0.0
C308,Sizakele White,sizakelewhite@gmail.com,Ghana,Greater Accra,GHS,6835.44
C309,Naa Byrd,naa.b@gmail.com,Nigeria,Abuja,NGN,1401.54
cust_310,Camila Petty,camila.p@gmail.com,Kenya,Kisumu,USD,0.0
C311,Khanyisile Rodriguez,k.rodriguez@gmail.com,Nigeria,Lagos State,NGN,13481.6
C312,Cebile Allen,cebile80@gmaill.com,Ghana,Accra,GHS,0.0
C313,Naomi Austin,N_austiN6@outlook.com,NI,Kano,GHS,0.0
